Country Name,Country Code,Series Name,Series Code,2021Q1 [YR2021Q1],2021Q2 [YR2021Q2],2021Q3 [YR2021Q3],2021Q4 [YR2021Q4],2022Q1 [YR2022Q1],2022Q2 [YR2022Q2],2022Q3 [YR2022Q3],2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4]
Albania,ALB,"Gross PSD, Nonfinancial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DSIN.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Nonfinancial Public Corp., Short-term, Loans, Nominal Value, National Currency",DP.DOD.DSLO.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Gross PSD, Nonfinancial Public Corp., Short-term, Other accounts payable, Nominal Value, National Currency",DP.DOD.DSOA.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",DP.DOD.DECD.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, National Currency",DP.DOD.DECN.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, External creditors, Nominal Value, National Currency",DP.DOD.DECX.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, National Currency",DP.DOD.DECF.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Nominal Value, National Currency",DP.DOD.DECT.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., All maturities, Special Drawing Rights, Nominal Value, National Currency",DP.DOD.DLSD.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, National Currency",DP.DOD.DLSD.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Short-term, All instruments, Nominal Value, National Currency",DP.DOD.DSTC.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Short-term, Currency and deposits, Nominal Value, National Currency",DP.DOD.DSCD.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DSIN.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Short-term, Loans, Nominal Value, National Currency",DP.DOD.DSLO.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Gross PSD, Nonfinancial Public Corp., Short-term, Other accounts payable, Nominal Value, National Currency",DP.DOD.DSOA.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",DP.DOD.DECD.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, National Currency",DP.DOD.DECN.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, External creditors, Nominal Value, National Currency",DP.DOD.DECX.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, National Currency",DP.DOD.DECF.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Nominal Value, National Currency",DP.DOD.DECT.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt Securities, Market value, National Currency",DP.DOD.DLDS.CR.MV.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., All maturities, Special Drawing Rights, Nominal Value, National Currency",DP.DOD.DLSD.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in more than one year, Special Drawing Rights, Nominal Value, National Currency",DP.DOD.DLSD.CR.M1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, All instruments, Nominal Value, National Currency",DP.DOD.DLTC.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Currency and deposits, Nominal Value, National Currency",DP.DOD.DLCD.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Debt securities, Nominal Value, National Currency",DP.DOD.DLDS.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DLIN.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Loans, Nominal Value, National Currency",DP.DOD.DLLO.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Long-term, With payment due in one year or less, Other accounts payable, Nominal Value, National Currency",DP.DOD.DLOA.CR.L1.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Short-term, All instruments, Nominal Value, National Currency",DP.DOD.DSTC.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Short-term, Currency and deposits, Nominal Value, National Currency",DP.DOD.DSCD.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Short-term, Debt securities, Nominal Value, National Currency",DP.DOD.DSDS.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, National Currency",DP.DOD.DSIN.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Short-term, Loans, Nominal Value, National Currency",DP.DOD.DSLO.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,"Gross PSD, Nonfinancial Public Corp., Short-term, Other accounts payable, Nominal Value, National Currency",DP.DOD.DSOA.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic creditors, Nominal Value, National Currency",DP.DOD.DECD.CR.NF,178279000000,177921000000,172923000000,169083000000,168282000000,174522000000,174715000000,174988000000,176004000000,176142000000,179590000000,180687000000
Australia,AUS,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Domestic currency, Nominal Value, National Currency",DP.DOD.DECN.CR.NF,181589000000,184794000000,180188000000,180229000000,179243000000,186744000000,187121000000,187808000000,190979000000,192057000000,195530000000,199149000000
Australia,AUS,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, External creditors, Nominal Value, National Currency",DP.DOD.DECX.CR.NF,3310000000,6873000000,7265000000,11146000000,10961000000,12222000000,12406000000,12820000000,14975000000,15915000000,15940000000,18462000000
Australia,AUS,"Gross PSD, Nonfinancial Public Corp., All maturities, All instruments, Foreign currency, Nominal Value, National Currency",DP.DOD.DECF.CR.NF,..,..,..,..,..,..,..,..,..,..,..,..
